character	countSpeechesInEpisode	Episode ID
DIPLOMAT	2	01x01.xml
DRIVER	3	01x01.xml
DRIVER	1	01x07.xml
MEMBER A	4	01x01.xml
MEMBER B	1	01x01.xml
FAKE EDGAR	3	01x01.xml
EDGAR	24	01x01.xml
NARRATOR	12	01x01.xml
NARRATOR	5	01x02.xml
NARRATOR	27	01x03.xml
NARRATOR	3	01x04.xml
NARRATOR	16	01x08.xml
NARRATOR	2	01x11.xml
NARRATOR	24	01x12.xml
KAREN	8	01x01.xml
TWILIGHT	16	01x01.xml
CONTACT	1	01x01.xml
CONTACT	6	01x12.xml
TRAIN ANNOUNCER	1	01x01.xml
CHIEF	24	01x01.xml
CHIEF	11	01x05.xml
CHIEF	2	01x08.xml
CHIEF	22	01x12.xml
SIGN	1	01x01.xml
SIGN	2	01x02.xml
SIGN	7	01x05.xml
SIGN	2	01x06.xml
SIGN	15	01x07.xml
SIGN	3	01x08.xml
SIGN	2	01x09.xml
SIGN	3	01x10.xml
SIGN	1	01x11.xml
SIGN	2	01x12.xml
REAL ESTATE AGENT	7	01x01.xml
LOID	200	01x01.xml
LOID	132	01x02.xml
LOID	156	01x03.xml
LOID	173	01x04.xml
LOID	97	01x05.xml
LOID	86	01x06.xml
LOID	122	01x07.xml
LOID	103	01x08.xml
LOID	107	01x09.xml
LOID	8	01x10.xml
LOID	99	01x11.xml
LOID	140	01x12.xml
ORPHANAGE DIRECTOR	12	01x01.xml
ANYA	81	01x01.xml
ANYA	20	01x02.xml
ANYA	70	01x03.xml
ANYA	48	01x04.xml
ANYA	60	01x05.xml
ANYA	64	01x06.xml
ANYA	47	01x07.xml
ANYA	9	01x08.xml
ANYA	22	01x09.xml
ANYA	47	01x10.xml
ANYA	67	01x11.xml
ANYA	55	01x12.xml
NEIGHBOR	1	01x01.xml
TV ANNOUNCER	1	01x01.xml
BONDMAN	5	01x01.xml
BONDMAN	2	01x02.xml
BONDMAN	2	01x05.xml
BONDMAN	3	01x08.xml
BONDMAN	4	01x11.xml
OLD LADY	2	01x01.xml
PASSERBY	1	01x01.xml
SIGN___CHILDREARING,SIGN	3	01x01.xml
FRANKY	19	01x01.xml
FRANKY	29	01x02.xml
FRANKY	91	01x05.xml
FRANKY	14	01x09.xml
HENCHMAN A	6	01x01.xml
FLASHBACK RESEARCHER A	1	01x01.xml
RESEARCHER B	1	01x01.xml
RESEARCHER A	4	01x01.xml
HENCHMAN B	7	01x01.xml
HENCHMAN D	1	01x01.xml
HENCHMAN G	1	01x01.xml
FAKE NGUYEN	13	01x01.xml
HENCHMAN E	4	01x01.xml
HENCHMAN C	2	01x01.xml
FLASHBACK FRANKY	1	01x01.xml
FLASHBACK FRANKY	1	01x09.xml
INVIGILATOR	1	01x01.xml
CHILD B	1	01x01.xml
